========================================================================
  PRESSCO21 품절/미진열 상품 리포트 (수정본)
  생성일: 2026-04-03
  판별 기준: options.basic[].sto_state_code = SOLDOUT/STOP
========================================================================

  ■ 진열중 전체 상품:  4,693개
  ■ 판매중 (SALE):     4,271개
  ■ 실제 품절:           422개  ← 이 리스트
    - 개인결제건:          1개 (무시)
    - 일반 상품:           421개 ← 확인 필요

========================================================================
  [품절 상품 — 대분류별]
  → 잘못 품절된 상품은 라이브 전환하세요!
========================================================================

▶ 기타 — 47개 품절
────────────────────────────────────────────────────────────────────
        상품번호          가격  상품명
  ──────────  ──────────  ────────────────────────────────────────────
      338136     42,500원  소국(0419-0-015)화이트옐로우/12 [드라이&프리저브드 플라]
      338134     30,200원  브루스타(0305-0-600)블루/20 [드라이&프리저브드 플라]
      338133     30,200원  브루스타(0305-0-011)화이트/20 [드라이&프리저브드 플라]
      338132     30,200원  브루스타(0305-0-100)핑크/20 [드라이&프리저브드 플라]
      338151     29,750원  소국(0419-0-015)화이트옐로우/12 [강사공간]
      338152     29,750원  소국(0419-0-011)라이트핑크/12 [강사공간]
      338147     28,210원  소국(0368-0-010)화이트/12 [강사공간]
      338148     28,210원  소국(0368-0-180)핑크/12 [강사공간]
         304     23,000원  시계/사각 [압화]
      338154     21,140원  브루스타(0305-0-011)화이트/20 [강사공간]
      338000     20,300원  덴파레(0239-0-361)오렌지/8 [강사공간]
      338002     20,300원  덴파레(0239-0-100)핑크/8 [강사공간]
      348825     20,000원  보존화코팅액/무광 [드라이&프리저브드 플라]
      338016     18,900원  고도네국(0479-0-500)옐로우/6 [강사공간]
     1152935     16,000원  계요등뿌리/大/한정수량 [압화]
      354073     15,000원  [레진공예]수제몰드/반구 [레진공예]
    11700758     12,600원  프리저브드_유칼립투스모음전 [강사공간]
    11700006     12,600원  프리저브드_노단새(화이트/핑크) [강사공간]
      355231     12,000원  [레진공예]몰드12종SET (구멍이 뚫린 모양) [레진공예]
      353862     11,500원  [레진공예]미니몰드/돔&타원 [레진공예]
      203922     11,000원  21액자/화이트 [압화]
      353706      9,000원  [레진공예]몰드/반지 [레진공예]
    11700000      7,200원  프리저브드_라이스플라워모음전 [강사공간]
     1153198      7,000원  유리컵/쥬스잔/6P [압화]
    11626244      6,000원  냉장고자석액자/정사각/2p [압화]
      375419      6,000원  유리컵/위스키잔/6P [압화]
      337811      4,500원  이젤액자 B형 (꽃은 불포함) [압화]
      337812      4,500원  이젤액자 C형 (꽃은 불포함) [압화]
     1150915      3,500원  팔각소주잔/2P [압화]
        5365      2,500원  가방걸이(열쇠고리겸용)딸기大 [압화]
        5366      2,500원  가방걸이(열쇠고리겸용)별大 [압화]
    11700206      2,000원  하바리움 LED 원목 무드등 [하바리움]
        6057      2,000원  호루라기휴대폰줄/금속 [압화]
        1113      2,000원  원형열쇠고리 [압화]
      167033      1,700원  호루라기휴대폰줄/아크릴 [압화]
     1155919      1,500원  실리콘매트/사이즈선택 [레진공예]
     1155911      1,500원  미니깔때기 [레진공예]
        5545      1,300원  하트中가방걸이/야광옐로우 [압화]
      355225      1,200원  [레진공예]몰드/타원 [레진공예]
      355230      1,200원  [레진공예]몰드/물방울 [레진공예]
      355219      1,200원  [레진공예]몰드/열쇠 [레진공예]
      355209      1,200원  [레진공예]몰드/고양이 [레진공예]
      201604      1,000원  동물휴대폰줄/곰돌이 [압화]
      354790        400원  [레진공예]에펠탑 [레진공예]
      354874        300원  [레진공예]물고기 [레진공예]
      354871        300원  [레진공예]잠자리 [레진공예]
      355068        200원  [레진공예]스페이드열쇠/1540 [레진공예]

▶ 압화 꽃송이 — 43개 품절
────────────────────────────────────────────────────────────────────
        상품번호          가격  상품명
  ──────────  ──────────  ────────────────────────────────────────────
    11604905    260,000원  미니장미/B형/1000pcs [압화]
     1153062     13,000원  [압화]장미꽃잎/4색/임의발송 [압화]
      375753     13,000원  가막살/4색종합(한정수량) [압화]
      375752     13,000원  가막살/4색종합 [압화]
