item_id,tax_year,category,source_name,document_name,period_start,period_end,required_level,status,folder_path,expected_filename,assigned_to,due_date,accountant_note,internal_note
TAX-2025-001,2025,기본정보,홈택스/정부24,사업자등록증명,2025-01-01,2025-12-31,필수,NOT_STARTED,01_기본정보,2025_사업자등록증명_프레스코21.pdf,,,,
TAX-2025-002,2025,기본정보,홈택스,전년도 종합소득세 신고서,2024-01-01,2024-12-31,필수,NOT_STARTED,01_기본정보,2024_종합소득세_신고서.pdf,,,,
TAX-2025-003,2025,소득자료,홈택스,지급명세서,2025-01-01,2025-12-31,필수,NOT_STARTED,02_소득자료,2025_홈택스_지급명세서_연간.pdf,,,,
TAX-2025-004,2025,매출자료,홈택스,전자세금계산서 매출,2025-01-01,2025-12-31,필수,NOT_STARTED,03_매출자료,2025_홈택스_전자세금계산서_매출_연간.xlsx,,,,
TAX-2025-005,2025,비용증빙,홈택스,전자세금계산서 매입,2025-01-01,2025-12-31,필수,NOT_STARTED,04_비용증빙,2025_홈택스_전자세금계산서_매입_연간.xlsx,,,,
TAX-2025-006,2025,매출자료,홈택스,현금영수증 매출,2025-01-01,2025-12-31,필수,NOT_STARTED,03_매출자료,2025_홈택스_현금영수증_매출_연간.xlsx,,,,
TAX-2025-007,2025,비용증빙,홈택스,현금영수증 지출증빙,2025-01-01,2025-12-31,필수,NOT_STARTED,04_비용증빙,2025_홈택스_현금영수증_지출증빙_연간.xlsx,,,,
TAX-2025-008,2025,비용증빙,홈택스,사업용 신용카드 사용내역,2025-01-01,2025-12-31,필수,NOT_STARTED,04_비용증빙,2025_홈택스_사업용신용카드_사용내역_연간.xlsx,,,,
TAX-2025-009,2025,매출자료,자사몰/오픈마켓/PG,주문매출/정산/수수료/환불,2025-01-01,2025-12-31,필수,NOT_STARTED,03_매출자료/플랫폼,2025_플랫폼명_정산내역_연간.xlsx,,,,
TAX-2025-010,2025,비용증빙,은행,사업용 계좌 거래내역,2025-01-01,2025-12-31,필수,NOT_STARTED,04_비용증빙/은행,2025_은행명_사업용계좌_거래내역_연간.xlsx,,,,
TAX-2025-011,2025,비용증빙,카드사,카드 사용내역,2025-01-01,2025-12-31,필수,NOT_STARTED,04_비용증빙/카드,2025_카드사_사업용카드_사용내역_연간.xlsx,,,,
TAX-2025-012,2025,공제자료,홈택스,연말정산 간소화 PDF,2025-01-01,2025-12-31,해당시,NOT_STARTED,05_공제자료,2025_홈택스_연말정산간소화_PDF.pdf,,,,
TAX-2025-013,2025,세금신고이력,홈택스,부가가치세 신고서,2025-01-01,2025-12-31,필수,NOT_STARTED,06_세금신고이력,2025_부가가치세_신고서_연간.pdf,,,,
TAX-2025-014,2025,통관관세,UNI-PASS,통관진행/수입제세 납부확인,2025-01-01,2025-12-31,해당시,NOT_STARTED,07_통관관세,2025_UNIPASS_수입제세납부확인_연간.xlsx,,,,
TAX-2025-015,2025,급여4대보험,사회보험통합징수포털,4대보험 납부확인서,2025-01-01,2025-12-31,해당시,NOT_STARTED,08_급여4대보험,2025_4대보험_납부확인서_연간.pdf,,,,
TAX-2025-016,2025,설명메모,내부작성,큰 금액 입출금 메모,2025-01-01,2025-12-31,권장,NOT_STARTED,09_설명메모,2025_설명메모_큰금액입출금.xlsx,,,,
