prdNo,prdNm,selStatCd,selStatNm,before_selPrc,dscAmtPercnt,cupnDscMthdCd,target_price,message
8236631319,프레스코21 압화 만들기 자석책갈피 만들기세트,103,판매중,9000,7000,01,2000,(상품번호:8236631319)의 가격 업데이트 실패. MSG : 판매가는 기본즉시할인금액 이하로 설정할 수 없습니다.
8236632836,책갈피 만들기 금속책갈피 압화 제작 황동 북마크 선물 미니 프레스코21,103,판매중,1000,550,01,450,(상품번호:8236632836)의 가격 업데이트 실패. MSG : 판매가는 기본즉시할인금액 이하로 설정할 수 없습니다.
8236632505,프레스코21 압화액자 만들기 모음 우드 아크릴 직사각 정사각 포토액자 인테리어 소품 탁상용,103,판매중,65000,62500,01,2500,(상품번호:8236632505)의 가격 업데이트 실패. MSG : 판매가는 최대 80%인하까지 수정하실 수 있습니다.
8236632641,프레스코21 꽃보관봉투 압화보관봉투 3size,103,판매중,5000,3000,01,2000,(상품번호:8236632641)의 가격 업데이트 실패. MSG : 판매가는 기본즉시할인금액 이하로 설정할 수 없습니다.
8236632553,이니셜 스티커 숫자 스티커 꾸미기용 스티커,103,판매중,10000,8600,01,1400,(상품번호:8236632553)의 가격 업데이트 실패. MSG : 판매가는 최대 80%인하까지 수정하실 수 있습니다.
8236632337,프레스코21 레진 공예 실리콘 몰드 책갈피 북마크 기타모양,103,판매중,2000,1200,01,800,(상품번호:8236632337)의 가격 업데이트 실패. MSG : 판매가는 기본즉시할인금액 이하로 설정할 수 없습니다.
8236631064,프레스코21 압화 만들기 휴대용와인잔 340ml 접이식,103,판매중,20000,12000,01,8000,(상품번호:8236631064)의 가격 업데이트 실패. MSG : 판매가는 기본즉시할인금액 이하로 설정할 수 없습니다.
8236631069,꼭지캡 세트 목걸이캡 목걸이장식,103,판매중,32000,30000,01,2000,(상품번호:8236631069)의 가격 업데이트 실패. MSG : 판매가는 최대 80%인하까지 수정하실 수 있습니다.
8236633163,프레스코21 21x36 프레임 사진 액자 밤색,103,판매중,20000,13000,01,7000,(상품번호:8236633163)의 가격 업데이트 실패. MSG : 판매가는 기본즉시할인금액 이하로 설정할 수 없습니다.
8236630918,프레스코21 프레스코21 플루이드아트 플레이팅 나무도마 월넛 고무나무 수제 국산,103,판매중,54000,15000,01,39000,"(상품번호:8236630918)의 가격 업데이트 실패. MSG : 기본즉시할인이 적용된 판매가와 옵션가의 합이 0보다 작거나, 옵션가격이 판매가의 +300%보다 크거나 -50%보다 작습니다."
8236630639,프레스코21 압화액자 청첩장 부케 해바라기액자 인테리어소품 DIY 원목아크릴액자,103,판매중,21000,16400,01,4600,(상품번호:8236630639)의 가격 업데이트 실패. MSG : 판매가는 기본즉시할인금액 이하로 설정할 수 없습니다.
8236630663,프레스코21 돌고래모양 아크릴판 열쇠고리 가방걸이,103,판매중,1600,900,01,700,(상품번호:8236630663)의 가격 업데이트 실패. MSG : 판매가는 기본즉시할인금액 이하로 설정할 수 없습니다.
8236625449,부케 압화 액자 부케말리기 선물 프레스코21 DIY 셀프 웨딩액자 2527,103,판매중,100000,90000,01,10000,(상품번호:8236625449)의 가격 업데이트 실패. MSG : 판매가는 최대 80%인하까지 수정하실 수 있습니다.
8236635052,프레스코21 압화스티커 12p 3p 원형 하트 반제품 다꾸 폰꾸 꽃 자연물 스티커 만들기,103,판매중,3000,1700,01,1300,(상품번호:8236635052)의 가격 업데이트 실패. MSG : 판매가는 기본즉시할인금액 이하로 설정할 수 없습니다.
8236637213,프레스코21 압화 만들기 냉장고 자석 클립 흰색,103,판매중,2500,1500,01,1000,(상품번호:8236637213)의 가격 업데이트 실패. MSG : 판매가는 기본즉시할인금액 이하로 설정할 수 없습니다.
8236636606,프레스코21 압화 만들기 플라스틱필통 투명,103,판매중,2500,1500,01,1000,(상품번호:8236636606)의 가격 업데이트 실패. MSG : 판매가는 기본즉시할인금액 이하로 설정할 수 없습니다.
