prdNo,prdNm,sellerPrdCd,selStatCd,selStatNm,selPrc,cuponcheck,dscAmtPercnt,cupnDscMthdCd,cupnUseLmtDyYn,cupnIssEndDy,estimated_discounted_price
1801314339,마이크로플레르/대 압화/누름꽃/프레스플라워/꽃말림,,103,판매중,75000,N,,,N,,
8236633432,프레스코21 34x41 프레임 연골드(36액자),1014,103,판매중,45000,Y,15000,01,Y,9999-12-31 23:59:59.0,30000
8236623981,프레스코21 레진 공예 UV컬러레진 에메랄드그린 25g,,103,판매중,14000,Y,5000,01,Y,9999-12-31 23:59:59.0,9000
8236631382,네잎클로버 압화 압화꽃 조화 압화재료 프레스코21,,103,판매중,7500,Y,2500,01,Y,9999-12-31 23:59:59.0,5000
8236631319,프레스코21 압화 만들기 자석책갈피 만들기세트,1150,103,판매중,9000,Y,7000,01,Y,9999-12-31 23:59:59.0,2000
8236631314,프레스코21 압화 만들기 투명 아크릴자 평면자 만들기세트,1150,103,판매중,3500,Y,700,01,Y,9999-12-31 23:59:59.0,2800
8236631115,프레스코21 압화 만들기 L형 북엔드 2개(1세트) 화이트 철재,1014,103,판매중,3500,Y,500,01,Y,9999-12-31 23:59:59.0,3000
8236633041,프레스코21 플루이드아트 어메이징 에폭시 레진(Stone-coat) 3.78L 고점도 1GEL,1277,103,판매중,285000,Y,15000,01,Y,9999-12-31 23:59:59.0,270000
8236624656,프레스코21 압화 압화꽃 꽃송이 레진아트 다꾸 프리미엄 일본 네모필라,,103,판매중,22000,Y,2000,01,Y,9999-12-31 23:59:59.0,20000
8236632941,청첩장 사진 나무 포토테이블 미니 아기증명사진 인생네컷 압화 우드 무드등 액자,,103,판매중,4000,N,,,N,,
8236632942,프레스코21 플루이드아트 어메이징 에폭시 레진(Stone-coat) 1.89L 고점도 0.5GEL,1277,103,판매중,165000,Y,15000,01,Y,9999-12-31 23:59:59.0,150000
8236632836,책갈피 만들기 금속책갈피 압화 제작 황동 북마크 선물 미니 프레스코21,1014,103,판매중,1000,Y,550,01,Y,9999-12-31 23:59:59.0,450
8236632647,프레스코21 26x31 프레임 액자(26액자) 진밤색,1014,103,판매중,20000,Y,2000,01,Y,9999-12-31 23:59:59.0,18000
8236632701,프레스코21 압화 만들기 크로스백 사각 에코백,,103,판매중,20000,Y,5000,01,Y,9999-12-31 23:59:59.0,15000
8236632505,프레스코21 압화액자 만들기 모음 우드 아크릴 직사각 정사각 포토액자 인테리어 소품 탁상용,1014,103,판매중,65000,Y,62500,01,Y,9999-12-31 23:59:59.0,2500
8236632641,프레스코21 꽃보관봉투 압화보관봉투 3size,,103,판매중,5000,Y,3000,01,Y,9999-12-31 23:59:59.0,2000
8236632553,이니셜 스티커 숫자 스티커 꾸미기용 스티커,,103,판매중,10000,Y,8600,01,Y,9999-12-31 23:59:59.0,1400
8236623843,프레스코21 레진 공예 UV컬러레진 그리지 25g,,103,판매중,14000,Y,5000,01,Y,9999-12-31 23:59:59.0,9000
8236632337,프레스코21 레진 공예 실리콘 몰드 책갈피 북마크 기타모양,,103,판매중,2000,Y,1200,01,Y,9999-12-31 23:59:59.0,800
8236632222,프레스코21 레진 공예 실리콘 몰드 동물 3종 냉장고 자석,,103,판매중,4000,Y,1500,01,Y,9999-12-31 23:59:59.0,2500
8236631064,프레스코21 압화 만들기 휴대용와인잔 340ml 접이식,,103,판매중,20000,Y,12000,01,Y,9999-12-31 23:59:59.0,8000
8236631069,꼭지캡 세트 목걸이캡 목걸이장식,,103,판매중,32000,Y,30000,01,Y,9999-12-31 23:59:59.0,2000
8236633306,프레스코21 플루이드아트 어메이징 에폭시 레진(Quick coat) 946ml 고점도 레진 공예,1277,103,판매중,91000,Y,10000,01,Y,9999-12-31 23:59:59.0,81000
8236624896,프레스코21 서핑보드 아크릴판 열쇠고리 가방걸이,,103,판매중,1200,Y,500,01,Y,9999-12-31 23:59:59.0,700
8236633191,프레스코21 플루이드아트 어메이징 에폭시 레진(Quick coat) 473ml 고점도 레진 공예,1277,103,판매중,60000,Y,10000,01,Y,9999-12-31 23:59:59.0,50000
