report_date,total_revenue,makeshop_revenue,naver_revenue,st11_revenue,crm_revenue,coupang_revenue,rocket_revenue,legacy_others_revenue,total_orders,coupang_collection_status
2026-04-01,3716178,764698,1554290,2100,870590,524500,0,0,119,confirmed
2026-04-02,3725820,1485800,878620,0,751200,610200,0,0,122,confirmed
2026-04-03,4324690,1092390,1248400,0,145900,469300,1368700,0,110,confirmed
2026-04-04,761720,214190,415730,0,0,131800,0,0,46,confirmed
2026-04-05,783080,324600,251580,0,0,206900,0,0,38,confirmed
2026-04-06,8289680,2186770,1027040,36500,4662200,377170,0,0,103,confirmed
2026-04-07,4186625,2396715,740600,0,722410,326900,0,0,106,confirmed
2026-04-08,4022530,1096180,831150,47500,1916700,131000,0,0,105,confirmed
2026-04-09,5699260,1639040,1074220,0,2810350,175650,0,0,90,confirmed
2026-04-10,6750800,970300,449420,304500,872400,37100,4117080,0,76,confirmed
2026-04-11,2076160,1195330,839030,0,0,41800,0,0,91,confirmed
2026-04-12,2718370,2024630,535740,0,0,158000,0,0,78,confirmed
2026-04-13,9855310,4953570,1380690,222500,3035850,262700,0,0,150,confirmed
2026-04-14,3532910,1218730,1302290,100000,587700,324190,0,0,130,confirmed
2026-04-15,4026680,2060030,957850,78500,83500,846800,0,0,115,confirmed
2026-04-16,5841680,1957550,1701560,0,1624020,558550,0,0,184,confirmed
2026-04-17,8826640,446650,1324790,0,1844000,309980,4901220,0,120,confirmed
2026-04-18,1030510,497050,390060,0,0,143400,0,0,55,confirmed
2026-04-19,2104480,1271540,409660,0,0,423280,0,0,66,confirmed
2026-04-20,10041500,4670820,1507370,0,2782640,1080670,0,0,144,confirmed
2026-04-21,5523390,1893490,2459010,0,575150,595740,0,0,193,confirmed
2026-04-22,5121590,698380,1234210,68700,2477000,643300,0,0,156,confirmed
2026-04-23,4452200,912950,1668150,143000,1546100,182000,0,0,129,confirmed
2026-04-24,10411430,2930420,819780,2264000,513700,774000,3109530,0,129,confirmed
2026-04-25,845750,403410,283840,0,0,158500,0,0,51,confirmed
2026-04-26,1772344,889104,686440,22000,0,174800,0,0,81,confirmed
2026-04-27,5895770,2575790,1640400,0,1538780,140800,0,0,168,confirmed
2026-04-28,5497197,2081127,794470,344000,1691000,586600,0,0,143,confirmed
2026-04-29,5482274,1473044,1965400,0,1593530,450300,0,0,140,confirmed
