date,Id,makeshop_revenue,makeshop_orders,naver_revenue,naver_orders,st11_revenue,st11_orders,crm_revenue,crm_orders,coupang_revenue,coupang_orders,rocket_revenue,legacy_others_revenue,total_revenue,total_orders,coupang_collection_status
2026-04-01,1203,764698,7,1554290,82,2100,0,265840,3,524500,25,0,0,3111428,117,confirmed
2026-04-02,1204,1485800,11,878620,87,0,0,0,0,610200,23,0,0,2974620,121,confirmed
2026-04-03,1205,1092390,11,1248400,80,0,0,91900,2,469300,16,1368700,0,2901990,109,confirmed
2026-04-04,1206,214190,4,415730,33,0,0,0,0,131800,9,0,0,761720,46,confirmed
2026-04-05,1207,324600,4,251580,17,0,0,0,0,206900,17,0,0,783080,38,confirmed
2026-04-06,1208,2186770,14,1027040,60,36500,0,0,0,377170,26,0,0,3627480,100,confirmed
2026-04-07,11,2396715,17,740600,67,0,0,234990,2,326900,15,0,0,3699205,101,confirmed
2026-04-08,12,1096180,10,831150,86,47500,0,0,0,131000,5,0,0,2105830,101,confirmed
2026-04-09,14,1639040,17,1074220,60,0,0,82500,2,175650,6,0,0,2971410,85,confirmed
2026-04-10,1229,970300,9,449420,58,304500,0,0,0,37100,6,4117080,0,1761320,73,confirmed
2026-04-11,1230,1195330,7,839030,79,0,0,0,0,41800,5,0,0,2076160,91,confirmed
2026-04-12,1231,2024630,13,535740,54,0,0,0,0,158000,11,0,0,2718370,78,confirmed
2026-04-13,1232,4953570,26,1380690,91,222500,0,1059200,4,262700,22,0,0,7878660,143,confirmed
2026-04-14,1233,1218730,14,1302290,91,100000,0,9000,1,324190,22,0,0,2954210,128,confirmed
2026-04-15,1234,2060030,12,957850,80,78500,0,54000,1,846800,21,0,0,3997180,114,confirmed
2026-04-16,1235,1957550,20,1701560,132,0,0,785720,4,558550,26,0,0,5003380,182,confirmed
2026-04-17,1236,446650,9,1324790,91,0,0,1298000,3,309980,15,4901220,0,3379420,118,confirmed
2026-04-18,1237,497050,9,390060,33,0,0,0,0,143400,13,0,0,1030510,55,confirmed
2026-04-19,1238,1271540,10,409660,39,0,0,0,0,423280,17,0,0,2104480,66,confirmed
2026-04-20,1241,4670820,23,1507370,84,0,0,1686650,5,1080670,30,0,0,8945510,142,confirmed
2026-04-21,1240,1893490,20,2459010,136,0,0,575150,6,595740,31,0,0,5523390,193,confirmed
2026-04-22,1247,698380,13,1234210,114,68700,0,2229500,2,643300,26,0,0,4874090,155,confirmed
2026-04-23,1248,912950,9,1668150,99,143000,0,1170900,2,182000,17,0,0,4077000,127,confirmed
2026-04-24,1244,2930420,19,819780,78,2264000,0,0,0,774000,29,3109530,0,6788200,126,confirmed
2026-04-25,1223,403410,5,283840,31,0,0,0,0,158500,15,0,0,845750,51,confirmed
2026-04-26,1224,889104,8,686440,59,22000,0,0,0,174800,14,0,0,1772344,81,confirmed
2026-04-27,1225,2575790,21,1640400,121,0,0,847280,4,140800,20,0,0,5204270,166,confirmed
2026-04-28,1226,2081127,21,794470,92,344000,0,1528200,4,586600,25,0,0,5334397,142,confirmed
2026-04-29,1227,1473044,15,1965400,102,0,0,0,0,450300,20,0,0,3888744,137,confirmed
