date,before_id,after_id,before_status,after_status,before_makeshop_revenue,after_makeshop_revenue,diff_makeshop_revenue,before_makeshop_orders,after_makeshop_orders,diff_makeshop_orders,before_naver_revenue,after_naver_revenue,diff_naver_revenue,before_naver_orders,after_naver_orders,diff_naver_orders,before_st11_revenue,after_st11_revenue,diff_st11_revenue,before_st11_orders,after_st11_orders,diff_st11_orders,before_crm_revenue,after_crm_revenue,diff_crm_revenue,before_crm_orders,after_crm_orders,diff_crm_orders,before_coupang_revenue,after_coupang_revenue,diff_coupang_revenue,before_coupang_orders,after_coupang_orders,diff_coupang_orders,before_rocket_revenue,after_rocket_revenue,diff_rocket_revenue,before_legacy_others_revenue,after_legacy_others_revenue,diff_legacy_others_revenue,before_total_revenue,after_total_revenue,diff_total_revenue,before_total_orders,after_total_orders,diff_total_orders,changed
2026-04-01,1203,1203,,confirmed,764698,764698,0,7,7,0,1554290,1554290,0,82,82,0,2100,2100,0,1,0,-1,870590,265840,-604750,5,3,-2,524500,524500,0,25,25,0,0,0,0,0,0,0,3716178,3111428,-604750,120,117,-3,True
2026-04-02,1204,1204,,confirmed,1485800,1485800,0,11,11,0,878620,878620,0,87,87,0,0,0,0,0,0,0,751200,0,-751200,1,0,-1,610200,610200,0,23,23,0,0,0,0,0,0,0,3725820,2974620,-751200,122,121,-1,True
2026-04-03,1205,1205,,confirmed,1092390,1092390,0,11,11,0,1248400,1248400,0,80,80,0,0,0,0,0,0,0,145900,91900,-54000,3,2,-1,469300,469300,0,16,16,0,1368700,1368700,0,0,0,0,4324690,2901990,-1422700,110,109,-1,True
2026-04-04,1206,1206,,confirmed,214190,214190,0,4,4,0,415730,415730,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,131800,131800,0,9,9,0,0,0,0,0,0,0,761720,761720,0,46,46,0,True
2026-04-05,1207,1207,,confirmed,324600,324600,0,4,4,0,251580,251580,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,206900,206900,0,17,17,0,0,0,0,0,0,0,783080,783080,0,38,38,0,True
2026-04-06,1208,1208,,confirmed,2186770,2186770,0,14,14,0,1027040,1027040,0,60,60,0,36500,36500,0,1,0,-1,4662200,0,-4662200,3,0,-3,377170,377170,0,26,26,0,0,0,0,0,0,0,8289680,3627480,-4662200,104,100,-4,True
2026-04-07,11,11,,confirmed,2396715,2396715,0,17,17,0,740600,740600,0,67,67,0,0,0,0,0,0,0,722410,234990,-487420,7,2,-5,326900,326900,0,15,15,0,0,0,0,0,0,0,4186625,3699205,-487420,106,101,-5,True
2026-04-08,12,12,,confirmed,1096180,1096180,0,10,10,0,831150,831150,0,86,86,0,47500,47500,0,2,0,-2,2105500,0,-2105500,4,0,-4,131000,131000,0,5,5,0,0,0,0,0,0,0,4211330,2105830,-2105500,107,101,-6,True
2026-04-09,14,14,,confirmed,1639040,1639040,0,17,17,0,1074220,1074220,0,60,60,0,0,0,0,0,0,0,2810350,82500,-2727850,7,2,-5,175650,175650,0,6,6,0,0,0,0,0,0,0,5699260,2971410,-2727850,90,85,-5,True
2026-04-10,1229,1229,,confirmed,970300,970300,0,9,9,0,449420,449420,0,58,58,0,304500,304500,0,2,0,-2,872400,0,-872400,3,0,-3,37100,37100,0,6,6,0,4117080,4117080,0,0,0,0,6750800,1761320,-4989480,78,73,-5,True
2026-04-11,1230,1230,confirmed,confirmed,1195330,1195330,0,7,7,0,839030,839030,0,79,79,0,0,0,0,0,0,0,0,0,0,0,0,0,41800,41800,0,5,5,0,0,0,0,0,0,0,2076160,2076160,0,91,91,0,False
2026-04-12,1231,1231,confirmed,confirmed,2024630,2024630,0,13,13,0,535740,535740,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,158000,158000,0,11,11,0,0,0,0,0,0,0,2718370,2718370,0,78,78,0,False
2026-04-13,1232,1232,confirmed,confirmed,4953570,4953570,0,26,26,0,1380690,1380690,0,91,91,0,222500,222500,0,7,0,-7,3035850,1059200,-1976650,11,4,-7,262700,262700,0,22,22,0,0,0,0,0,0,0,9855310,7878660,-1976650,157,143,-14,True
2026-04-14,1233,1233,confirmed,confirmed,1218730,1218730,0,14,14,0,1302290,1302290,0,91,91,0,100000,100000,0,1,0,-1,587700,9000,-578700,3,1,-2,333190,324190,-9000,23,22,-1,0,0,0,0,0,0,3541910,2954210,-587700,132,128,-4,True
2026-04-15,1234,1234,confirmed,confirmed,2060030,2060030,0,12,12,0,957850,957850,0,80,80,0,78500,78500,0,6,0,-6,83500,54000,-29500,2,1,-1,928800,846800,-82000,23,21,-2,0,0,0,0,0,0,4108680,3997180,-111500,123,114,-9,True
2026-04-16,1235,1235,confirmed,confirmed,1957550,1957550,0,20,20,0,1701560,1701560,0,132,132,0,0,0,0,0,0,0,2369820,785720,-1584100,7,4,-3,564850,558550,-6300,27,26,-1,0,0,0,0,0,0,6593780,5003380,-1590400,186,182,-4,True
2026-04-17,1236,1236,confirmed,confirmed,446650,446650,0,9,9,0,1324790,1324790,0,91,91,0,0,0,0,0,0,0,1728800,1298000,-430800,4,3,-1,309980,309980,0,15,15,0,4901220,4901220,0,0,0,0,8711440,3379420,-5332020,119,118,-1,True
2026-04-18,1237,1237,confirmed,confirmed,497050,497050,0,9,9,0,390060,390060,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,143400,143400,0,13,13,0,0,0,0,0,0,0,1030510,1030510,0,55,55,0,False
2026-04-19,1238,1238,confirmed,confirmed,1271540,1271540,0,10,10,0,409660,409660,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,481880,423280,-58600,19,17,-2,0,0,0,0,0,0,2163080,2104480,-58600,68,66,-2,True
2026-04-20,1241,1241,confirmed,confirmed,4670820,4670820,0,23,23,0,1507370,1507370,0,84,84,0,0,0,0,0,0,0,2782640,1686650,-1095990,7,5,-2,1083870,1080670,-3200,31,30,-1,0,0,0,0,0,0,10044700,8945510,-1099190,145,142,-3,True
